#did	when	nextofkin
CARS	2020-08-03	CARS1
CASC4	2020-08-03	GOLM2
DOPEY1	2020-08-03	DOP1A
OTX3	2020-08-03	DMBX1
MARCH1	2020-08-03	MARCHF1
RNASEN	2020-08-03	DROSHA
SEPT1	2020-08-03	SEPTIN1
TMEM206	2020-08-03	PACC1
TWISTNB	2020-08-03	POLR1F
WARS	2020-08-03	WARS1
